PC,1,2,3,4,5,6,7,8,9,10,11,12
Mile 108 Recreational Ranch,1.519302875,0.541329624,0.935159605,0.752741536,0.534455313,0.504573811,0.46833445,0.597207411,0.626384535,0.157688841,0.398170688,-0.201750844
Miller's Landing,1.191292893,0.903387856,1.046359553,0.676405527,0.626347278,0.741701292,0.385184832,0.583161743,0.474879359,0.527169937,0.622544481,0.517007691
Mission,0.833652371,0.249409092,0.340613184,0.130000881,0.192791019,0.215582225,0.192726416,0.400423303,0.204021218,-0.035120637,-0.266880641,-0.295610468
Nakusp,1.422831564,0.539751684,1.204984477,0.630849228,1.067332627,1.128009356,1.046159914,0.772263032,0.884724559,0.332626982,0.549728601,0.311806973
Nanaimo,0.419989156,-0.091315172,0.167853542,0.160224005,0.065682714,0.199076002,-0.05116207,0.067997697,0.029758163,-0.137820324,-0.265531475,-0.458358577
Naramata,2.269520271,1.348444764,2.32944349,2.058470792,2.155996087,2.020232406,1.961103135,1.753959085,1.523930516,1.31379242,1.494250815,1.226528561
Nelson,3.378094142,2.947898041,4.176306446,4.298180113,4.115133403,3.634940541,3.652910461,3.72018276,3.350650248,2.886603164,2.982381854,2.362056122
Okanagan Falls,1.955073201,1.261775756,1.894349338,1.490929697,1.674845656,1.570746096,1.580585954,1.532119492,1.326909837,1.143271122,1.183856015,0.892320405
Oliver,1.177300137,0.847874706,1.188295995,0.777373336,0.962498121,0.843414152,1.075349896,1.090660289,1.029759392,0.796926705,0.354590661,-0.011648727
One Hundred Mile House,1.531165096,0.681828106,1.260369987,0.960204564,0.644287979,0.617190824,0.606733088,0.799072242,0.832127604,0.331839574,0.524540838,-0.134223799
Osoyoos,1.414903055,1.13721238,1.645323468,1.329036663,1.692954591,1.506263185,1.823845992,1.748806877,1.478648165,1.130425499,0.700610869,0.325288584
Parksville,0.851991386,0.177852934,0.330007016,0.076440149,0.252814876,0.557151823,0.21720792,0.367227278,0.192331895,0.062231641,0.10334064,-0.094479165
Peachland,1.809956948,0.628631292,1.167075703,0.84928326,0.935661978,0.814009255,0.723509607,0.437528175,0.274619802,0.114116295,0.683532484,0.571484432
Pemberton,-0.078906147,0.69756836,3.059444876,4.067218956,3.873435405,3.9311888,4.056471087,3.920794334,2.743478097,1.638190127,0.176308563,-0.710019453
Penticton,2.195030184,1.226819684,1.858095766,1.481929021,1.554799181,1.449539767,1.368233874,1.240045524,1.015714222,0.927070263,1.290694205,1.143825904
Port Alberni,0.745401775,0.369372566,0.912121082,0.730549285,1.049100018,1.003730637,1.242904868,1.400268608,1.344724788,0.783254772,0.261934527,-0.07588975
Port Hardy,1.031473202,0.681522376,1.069065767,1.144639719,0.992572756,1.002604239,0.761307991,1.123052797,1.059649791,0.540881725,0.442232478,0.253392351
Port McNeill,0.925477946,0.396652008,0.59755704,0.738428421,0.550995044,0.321946295,0.770411866,1.237797201,0.883423527,0.672005456,0.219468683,-0.073300796
Powell River,0.497150584,0.042483776,0.330530748,0.277613447,0.003828486,0.08329548,-0.056324175,0.086834248,0.141727714,-0.054931604,-0.279310044,-0.531061902
Prince George,1.901101174,0.573955738,1.035803848,0.431057059,0.150069301,0.094595275,0.043715518,0.306015998,0.284873666,-0.273556398,-0.056226502,0.194128507
Prince Rupert,1.54825647,0.895769554,1.395412603,1.278446483,0.843570715,0.592267154,0.18082361,0.200495084,0.393024133,0.821607269,0.592231598,0.791095675
Princeton,1.408843309,1.160627106,2.355973174,1.311963889,1.647701415,1.638790034,1.932397105,2.199185454,2.167946213,1.400116001,0.610623754,0.135337333
Puntledge,0.64744496,0.057510725,0.361042025,0.270905819,0.223164856,0.464405916,0.179433793,0.385340137,0.285528074,0.086658666,-0.0439166,-0.320442834
Quesnel,1.692589308,0.463162475,1.160343329,1.018242578,0.715488064,0.832770702,0.785000748,1.050865297,0.576238451,0.056493694,0.084235283,-0.17682399
Rayleigh,2.206910163,1.703795862,3.154936679,2.976243764,2.674591547,2.543504424,2.71264353,2.858894095,2.447955353,1.614080383,1.622218273,0.901356888
Revelstoke,1.989913132,0.908097893,1.603217243,1.699471683,1.339505409,1.249629232,1.340226425,1.006519429,1.074480129,0.962151839,0.915417759,0.762717226
Roberts Creek,2.362758117,1.882263351,2.215037369,1.651895639,0.633833638,1.11833336,0.274247269,0.577082958,0.724756344,1.31404265,1.877178639,1.901588958
Rosedale,1.254183107,0.625391715,0.519783458,0.339796498,0.423044053,0.467473972,0.405931262,0.519096675,0.433410451,0.294235702,-0.122248516,-0.060970319
Rossland,1.038621099,0.706447319,1.430343085,1.014778195,0.961925585,0.567760176,0.820082401,0.890849779,0.629009271,0.401048148,0.134269693,-0.076877211
Salmo,2.492035333,2.254823878,3.481521327,3.411358306,2.63536718,2.306831131,2.847223469,2.89415519,2.525898888,1.873866692,2.005962279,1.380201463
Salmon Arm,1.335440175,0.467838301,1.255157789,1.137166468,0.826835666,0.737311397,0.884960806,0.965400666,0.518397504,0.320241561,0.4151065,-0.092447925
Sechelt,0.910309444,0.582087281,0.912381934,0.57915048,-0.330107549,0.378379262,-0.01465891,0.231018161,0.333248738,0.427015993,0.548807179,0.475602377
Shawnigan - Mill Bay,1.217762876,0.704107559,1.080751644,0.984530916,0.987932368,1.062658521,0.885697716,0.901302667,0.831874944,0.56073536,0.344746873,0.148709613
Sicamous,2.963176143,2.337564387,4.068675125,4.483847629,4.347237001,4.132681561,4.241356077,4.351269021,3.57058226,3.078022624,2.723249133,1.896761864
Smithers,1.599078589,0.648014059,1.270171398,1.608471153,1.047227632,1.095505377,0.816557375,1.059455342,0.984688156,0.741768551,0.304927746,0.183854877
Sooke,0.868378924,0.504297564,0.839633048,0.574181815,0.478752066,0.511241102,-0.176012326,-0.139935005,0.364094537,0.220908051,0.159555596,-0.040320148
Sparwood,1.906921682,1.450200943,2.360121266,2.21886601,1.837642807,1.70330963,1.929810752,2.365312141,1.797754657,0.603534698,0.568232011,-0.099569038
Squamish,2.338928179,2.34089221,2.586548623,2.183442932,1.649143976,1.526036211,0.998774306,1.196289822,1.3610971,1.490024017,1.552636891,1.265833801
Summerland,1.395008674,0.380473847,0.810660516,0.32945753,0.495773097,0.314682772,0.341878897,0.23734871,0.198893865,0.109787657,0.233427444,0.17334512
